team_name_home,team_score_home,team_name_away,team_score_away,possession_%_home,possession_%_away,total_shots_home,total_shots_away,on_target_home,on_target_away,off_target_home,off_target_away,blocked_home,blocked_away,passing_%_home,passing_%_away,attacking_3rd_%_home,attacking_3rd_%_away,key_passes_home,key_passes_away,clear-cut_chances_home,clear-cut_chances_away,crosses_%_home,crosses_%_away,dribbles_%_home,dribbles_%_away,corners_home,corners_away,offsides_home,offsides_away,recoveries_home,recoveries_away,tackles_%_home,tackles_%_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,headed_clearances_home,headed_clearances_away,aerial_duels_%_home,aerial_duels_%_away,blocked_crosses_home,blocked_crosses_away,saves_home,saves_away,catches_%_home,catches_%_away,fouls_committed_home,fouls_committed_away,fouls_won_home,fouls_won_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,match_result
Doncaster Rovers,2,Rochdale,0,53.0,47.0,9,9,4,4,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,2,0,0,5,19,18,5,1,1,0,0,1
Wigan Athletic,0,Charlton Athletic,0,60.0,40.0,14,5,7,1,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,7,0,0,13,8,8,13,2,4,0,0,0
Gillingham,1,Oxford United,1,48.0,52.0,13,9,4,5,4,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,4,3,0,0,14,13,13,14,1,4,0,0,0
Southend United,3,Charlton Athletic,1,56.0,44.0,11,16,7,7,3,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,6,4,0,0,11,13,13,10,4,2,0,0,1
Blackburn Rovers,2,Rochdale,0,48.0,52.0,7,8,3,1,4,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,2,0,0,14,11,11,13,3,0,0,0,1
Blackpool,2,Scunthorpe United,3,47.0,53.0,25,3,7,3,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,5,0,0,12,7,7,10,4,1,0,0,2
Bradford City,1,Peterborough United,3,64.0,36.0,24,12,6,5,12,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,15,5,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,2,5,0,0,11,14,14,11,1,3,0,0,2
Bury,0,Rotherham United,3,51.0,49.0,12,12,2,4,6,2,4,6,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,1,2,0,0,8,10,10,8,2,2,0,0,2
Doncaster Rovers,3,Northampton Town,0,61.0,39.0,18,4,7,2,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,16,9,9,15,0,1,0,0,1
Milton Keynes Dons,0,Plymouth Argyle,1,50.0,50.0,13,9,1,4,8,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,3,1,0,0,12,9,9,12,0,1,0,0,2
Oldham Athletic,1,Fleetwood Town,2,58.0,42.0,13,2,4,2,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,9,10,10,9,0,3,0,0,2
