team_name_home,team_score_home,team_name_away,team_score_away,possession_%_home,possession_%_away,total_shots_home,total_shots_away,on_target_home,on_target_away,off_target_home,off_target_away,blocked_home,blocked_away,passing_%_home,passing_%_away,attacking_3rd_%_home,attacking_3rd_%_away,key_passes_home,key_passes_away,clear-cut_chances_home,clear-cut_chances_away,crosses_%_home,crosses_%_away,dribbles_%_home,dribbles_%_away,corners_home,corners_away,offsides_home,offsides_away,recoveries_home,recoveries_away,tackles_%_home,tackles_%_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,headed_clearances_home,headed_clearances_away,aerial_duels_%_home,aerial_duels_%_away,blocked_crosses_home,blocked_crosses_away,saves_home,saves_away,catches_%_home,catches_%_away,fouls_committed_home,fouls_committed_away,fouls_won_home,fouls_won_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,match_result
Southend United,1,Bury,1,49,51,0,0,6,8,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,1,2,0,0,0
Cheltenham Town,1,Hereford FC,1,50,50,0,0,5,3,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,1,0,0,0,0
Milton Keynes Dons,2,AFC Wimbledon,1,0,0,0,0,7,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,0,0,0,3,0,0,1
Alfreton Town,2,Leyton Orient,4,45,55,0,0,7,9,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,0,0,1,1,0,0,2
Harrogate Town,1,Hastings United,1,46,54,0,0,4,4,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,0,0,3,0,0,0,0
Lincoln City,3,Mansfield Town,3,52,48,0,0,7,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,0,2,0,0,0
Accrington Stanley,3,Oxford United,3,0,0,0,0,7,10,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,2,0,0,0,0
Bury,1,Southend United,1,48,52,0,0,7,4,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,2,1,0,0,0
Carlisle United,1,Bournemouth,3,48,52,0,0,5,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,0,0,2
Coventry City,2,Morecambe,1,56,44,0,0,7,6,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,1,1,0,0,1
Crawley Town,3,Chelmsford,0,66,34,0,0,22,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,2,0,1,1
Crewe Alexandra,0,Burton Albion,1,57,43,0,0,6,5,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,2,1,0,0,2
Fleetwood Town,2,Aldershot Town,3,54,46,0,0,6,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12,0,0,0,0,0,0,2
Luton Town,2,Dorchester,1,63,37,0,0,4,5,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,0,0,2,3,0,0,1
Oldham Athletic,3,Doncaster Rovers,1,50,50,0,0,5,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,19,0,0,0,4,0,0,1
Preston North End,2,Gillingham,0,54,46,0,0,4,2,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,0,2,5,0,0,1
Rotherham United,1,Notts County,1,49,51,0,0,4,5,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,0,0,2,0,0,0,0
Sheffield United,2,Port Vale,1,64,36,0,0,17,5,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,15,0,0,0,3,0,0,1
Tranmere Rovers,2,Chesterfield,1,58,42,0,0,8,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,0,0,4,3,0,0,1
Bradford City,1,Brentford,1,41,59,0,0,5,6,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,0,0,0,1,0,0,0
Altrincham,0,Burton Albion,2,44,56,0,0,8,7,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,2
Gloucester,0,Leyton Orient,2,41,59,0,0,2,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,15,0,0,1,0,0,0,2
Barrow,1,Guiseley,0,46,54,0,0,6,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,11,0,0,2,1,0,0,1
Bradford City,3,Northampton Town,3,50,50,0,0,9,9,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,0
Braintree Town,0,Tranmere Rovers,3,46,54,0,0,4,10,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,0,0,0,0,0,0,2
Milton Keynes Dons,6,Cambridge City,1,67,33,0,0,19,1,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,1
